Es,Sx,Sxx,Sy,Syy,P-10,P-9,P-8,P-7,P-6,P-5,P-4,P-3,P-2,P-1,P0
(0.18470683114196682+0j),[0.20448962],[1.],[0.62992353],[1.],[0.15742556],[0.13080011],[0.13483369],[0.13817383],[0.1412147],[0.14336525],[0.14469011],[0.14579945],[0.14555563],[0.14411636],[0.142709]
(0.17553795491667792+0j),[0.20591142],[1.],[0.6116373],[1.],[0.16070905],[0.13483382],[0.13817396],[0.14121483],[0.14336539],[0.14469025],[0.14579959],[0.14555578],[0.14411652],[0.14270915],[0.13995426]
(0.16705906161255055+0j),[0.20849491],[1.],[0.59439981],[1.],[0.16234849],[0.13817406],[0.14121492],[0.14336548],[0.14469035],[0.14579969],[0.14555588],[0.14411663],[0.14270927],[0.13995437],[0.13595051]
(0.1592845954825302+0j),[0.21206596],[1.],[0.57820572],[1.],[0.16320264],[0.14121501],[0.14336557],[0.14469044],[0.14579979],[0.14555598],[0.14411672],[0.14270936],[0.13995447],[0.1359506],[0.13218262]
(0.16404826560764532+0j),[0.21616886],[1.],[0.59042219],[1.],[0.16526159],[0.14336566],[0.14469053],[0.14579988],[0.14555608],[0.14411682],[0.14270945],[0.13995455],[0.13595067],[0.13218269],[0.13174351]
(0.16884041057352306+0j),[0.22023734],[1.],[0.60120586],[1.],[0.16791054],[0.14469063],[0.14579998],[0.14555618],[0.14411692],[0.14270954],[0.13995463],[0.13595075],[0.13218276],[0.13174357],[0.13433622]
(0.17363995121771844+0j),[0.22411388],[1.],[0.61070956],[1.],[0.16960321],[0.14580007],[0.14555627],[0.14411701],[0.14270963],[0.13995472],[0.13595083],[0.13218283],[0.13174365],[0.13433629],[0.136623]
(0.1817050714668462+0j),[0.22766335],[1.],[0.62561446],[1.],[0.17136414],[0.14555638],[0.14411711],[0.14270973],[0.13995483],[0.13595094],[0.13218294],[0.13174374],[0.13433639],[0.13662309],[0.13938269]
(0.1896058626610239+0j),[0.23050225],[1.],[0.6384958],[1.],[0.17206284],[0.14411722],[0.14270983],[0.13995493],[0.13595105],[0.13218304],[0.13174384],[0.13433648],[0.13662318],[0.13938277],[0.14251347]
(0.19725550095758687+0j),[0.23243443],[1.],[0.64958248],[1.],[0.17150889],[0.14270996],[0.13995505],[0.13595116],[0.13218315],[0.13174395],[0.13433658],[0.13662327],[0.13938286],[0.14251356],[0.14521318]
(0.20420378103453407+0j),[0.23355253],[1.],[0.65836137],[1.],[0.17092326],[0.13995523],[0.13595133],[0.13218331],[0.1317441],[0.13433672],[0.1366234],[0.13938298],[0.14251368],[0.14521331],[0.14744887]
(0.21076432209064633+0j),[0.23365627],[1.],[0.66582868],[1.],[0.16896513],[0.13595159],[0.13218354],[0.1317443],[0.13433691],[0.13662357],[0.13938314],[0.14251384],[0.14521348],[0.14744905],[0.14927713]
(0.21689330660631334+0j),[0.2325977],[1.],[0.67224383],[1.],[0.16583752],[0.13218387],[0.13174459],[0.13433716],[0.13662382],[0.13938338],[0.14251407],[0.14521372],[0.1474493],[0.14927739],[0.15083835]
(0.22006135438217692+0j),[0.23060581],[1.],[0.67378142],[1.],[0.16281566],[0.13174499],[0.13433752],[0.13662415],[0.13938371],[0.1425144],[0.14521404],[0.14744963],[0.14927772],[0.15083868],[0.15172544]
(0.22279141663614496+0j),[0.22844329],[1.],[0.67482851],[1.],[0.16292711],[0.13433802],[0.13662461],[0.13938414],[0.14251482],[0.14521445],[0.14745002],[0.14927812],[0.15083908],[0.15172584],[0.15201288]
(0.22504726235965195+0j),[0.22665198],[1.],[0.67518044],[1.],[0.16598331],[0.13662521],[0.13938469],[0.14251534],[0.14521496],[0.14745051],[0.14927858],[0.15083953],[0.15172629],[0.15201332],[0.15216624]
(0.2218764571236276+0j),[0.22529007],[1.],[0.66710182],[1.],[0.16814333],[0.13938543],[0.14251601],[0.14521559],[0.14745111],[0.14927915],[0.15084007],[0.15172681],[0.15201383],[0.15216673],[0.15128535]
(0.21862470283856386+0j),[0.22456659],[1.],[0.65947965],[1.],[0.17022056],[0.14251691],[0.1452164],[0.14745187],[0.14927987],[0.15084075],[0.15172744],[0.15201444],[0.15216731],[0.15128589],[0.14951129]
(0.21533460224159048+0j),[0.22452467],[1.],[0.65224986],[1.],[0.17258779],[0.14521752],[0.14745289],[0.14928082],[0.15084164],[0.15172827],[0.1520152],[0.15216802],[0.15128655],[0.14951189],[0.14783185]
(0.20474448770030354+0j),[0.22530086],[1.],[0.63253253],[1.],[0.1737054],[0.14745428],[0.14928208],[0.1508428],[0.15172935],[0.15201618],[0.15216891],[0.15128736],[0.14951262],[0.14783249],[0.14479175]
(0.1949072919785834+0j),[0.22700884],[1.],[0.61418591],[1.],[0.17355241],[0.14928372],[0.15084429],[0.1517307],[0.15201741],[0.15217003],[0.15128836],[0.1495135],[0.14783327],[0.14479241],[0.14049606]
(0.18583559265060895+0j),[0.22952931],[1.],[0.59714533],[1.],[0.17297293],[0.15084621],[0.15173244],[0.15201899],[0.15217145],[0.15128963],[0.14951462],[0.14783424],[0.14479323],[0.14049673],[0.13650205]
(0.18760687203537427+0j),[0.23242912],[1.],[0.6023277],[1.],[0.17332618],[0.15173467],[0.152021],[0.15217326],[0.15129124],[0.14951603],[0.14783545],[0.14479425],[0.14049756],[0.1365027],[0.13516253]
(0.18946067881812156+0j),[0.23521773],[1.],[0.60689768],[1.],[0.17420664],[0.15202381],[0.15217577],[0.15129346],[0.14951798],[0.14783712],[0.14479566],[0.14049871],[0.13650361],[0.13516321],[0.13624824]
(0.1914054937666991+0j),[0.23780048],[1.],[0.6109452],[1.],[0.17445354],[0.15217949],[0.15129675],[0.14952086],[0.14783961],[0.14479776],[0.14050045],[0.13650499],[0.13516426],[0.13624898],[0.13719672]
(0.19810628777741285+0j),[0.24001392],[1.],[0.6234165],[1.],[0.1750671],[0.15130149],[0.14952501],[0.14784319],[0.14480081],[0.140503],[0.13650705],[0.13516585],[0.13625014],[0.13719748],[0.13904081]
(0.2047015224540959+0j),[0.2414929],[1.],[0.6342132],[1.],[0.17513433],[0.14953077],[0.14784816],[0.14480506],[0.14050657],[0.13650997],[0.13516814],[0.13625183],[0.13719863],[0.13904145],[0.14162988]
(0.21111644260989101+0j),[0.24211233],[1.],[0.64352485],[1.],[0.17428555],[0.1478549],[0.14481084],[0.14051144],[0.13651398],[0.13517133],[0.13625424],[0.13720032],[0.13904249],[0.14163031],[0.14385911]
(0.2182494171238221+0j),[0.24194585],[1.],[0.65307332],[1.],[0.17362075],[0.14481856],[0.140518],[0.13651943],[0.13517571],[0.1362576],[0.13720275],[0.13904409],[0.14163116],[0.14385926],[0.14594624]
(0.2250367306229561+0j),[0.24074372],[1.],[0.66120262],[1.],[0.17170619],[0.14052658],[0.13652665],[0.13518157],[0.13626216],[0.13720613],[0.13904642],[0.14163255],[0.14385981],[0.14594602],[0.14789702]
(0.23141865235320397+0j),[0.23836365],[1.],[0.66818983],[1.],[0.16860764],[0.13653587],[0.13518916],[0.13626816],[0.13721068],[0.13904967],[0.14163466],[0.14386091],[0.14594619],[0.14789636],[0.14956064]
(0.2368977180887998+0j),[0.2350095],[1.],[0.6735042],[1.],[0.16586081],[0.13519881],[0.13627592],[0.13721668],[0.13905408],[0.14163765],[0.14386267],[0.14594688],[0.14789606],[0.14955949],[0.15090607]
(0.24186795747931383+0j),[0.23129582],[1.],[0.67783198],[1.],[0.16574659],[0.13628572],[0.13722442],[0.13905989],[0.14164175],[0.14386526],[0.14594817],[0.14789623],[0.14955865],[0.15090438],[0.15195479]
