Es,Sx,Sxx,Sy,Syy,P-10,P-9,P-8,P-7,P-6,P-5,P-4,P-3,P-2,P-1,P0
(0.014009961997040472+0j),[0.12001988],[1.],[0.19175283],[1.],[0.04960112],[0.05253428],[0.05256322],[0.05131483],[0.05015048],[0.04885456],[0.04743155],[0.04609691],[0.04507264],[0.04432881],[0.04360061]
(0.014196675106539786+0j),[0.12103589],[1.],[0.19355687],[1.],[0.05071789],[0.05256322],[0.05131483],[0.05015048],[0.04885456],[0.04743155],[0.04609691],[0.04507264],[0.04432881],[0.04360061],[0.04344104]
(0.01437740920416534+0j),[0.12199972],[1.],[0.19525622],[1.],[0.05075101],[0.05131483],[0.05015048],[0.04885456],[0.04743155],[0.04609691],[0.04507264],[0.04432881],[0.04360061],[0.04344104],[0.04383602]
(0.014549954886066975+0j),[0.12266533],[1.],[0.19699244],[1.],[0.04953722],[0.05015048],[0.04885456],[0.04743155],[0.04609691],[0.04507264],[0.04432881],[0.04360061],[0.04344104],[0.04383602],[0.04422335]
(0.015065040085695374+0j),[0.1230595],[1.],[0.20214548],[1.],[0.04865775],[0.04885456],[0.04743155],[0.04609691],[0.04507264],[0.04432881],[0.04360061],[0.04344104],[0.04383602],[0.04422335],[0.04500023]
(0.015565287037927129+0j),[0.12316652],[1.],[0.20714957],[1.],[0.04788549],[0.04743155],[0.04609691],[0.04507264],[0.04432881],[0.04360061],[0.04344104],[0.04383602],[0.04422335],[0.04500023],[0.04614534]
(0.01605037864288983+0j),[0.12297639],[1.],[0.21202543],[1.],[0.04702756],[0.04609691],[0.04507264],[0.04432881],[0.04360061],[0.04344104],[0.04383602],[0.04422335],[0.04500023],[0.04614534],[0.04725921]
(0.018519605110488172+0j),[0.12250686],[1.],[0.23386571],[1.],[0.04726413],[0.04507264],[0.04432881],[0.04360061],[0.04344104],[0.04383602],[0.04422335],[0.04500023],[0.04614534],[0.04725921],[0.05027374]
(0.02109326119096262+0j),[0.12181764],[1.],[0.25453752],[1.],[0.04874949],[0.04432881],[0.04360061],[0.04344104],[0.04383602],[0.04422335],[0.04500023],[0.04614534],[0.04725921],[0.05027374],[0.05506666]
(0.02374241506147637+0j),[0.12097355],[1.],[0.27406095],[1.],[0.05042125],[0.04360061],[0.04344105],[0.04383603],[0.04422335],[0.04500023],[0.04614535],[0.04725921],[0.05027374],[0.05506666],[0.05959832]
(0.02593218718685256+0j),[0.11998603],[1.],[0.28917632],[1.],[0.05182425],[0.04344106],[0.04383604],[0.04422337],[0.04500025],[0.04614537],[0.04725923],[0.05027376],[0.05506668],[0.05959834],[0.06350263]
(0.02811543444810437+0j),[0.1189691],[1.],[0.30338515],[1.],[0.05351347],[0.04383611],[0.04422344],[0.04500032],[0.04614544],[0.04725931],[0.05027384],[0.05506676],[0.05959842],[0.0635027],[0.0668084]
(0.030274984538957148+0j),[0.11802671],[1.],[0.31666942],[1.],[0.05564967],[0.04422361],[0.0450005],[0.04614563],[0.0472595],[0.05027403],[0.05506695],[0.05959861],[0.06350289],[0.06680859],[0.06990747]
(0.03230983293315303+0j),[0.11715847],[1.],[0.32857267],[1.],[0.05763384],[0.04500087],[0.04614601],[0.04725989],[0.05027443],[0.05506735],[0.05959901],[0.06350329],[0.06680898],[0.06990785],[0.07274612]
(0.034298303889462374+0j),[0.11644055],[1.],[0.33965643],[1.],[0.05986188],[0.04614671],[0.04726061],[0.05027517],[0.0550681],[0.05959976],[0.06350404],[0.06680972],[0.06990857],[0.07274682],[0.07533628]
(0.03623175732555787+0j),[0.1159395],[1.],[0.34993575],[1.],[0.06233115],[0.04726183],[0.05027641],[0.05506937],[0.05960103],[0.06350531],[0.06681098],[0.06990982],[0.07274804],[0.07533746],[0.07774267]
(0.03808034083258884+0j),[0.11564484],[1.],[0.35933731],[1.],[0.06463357],[0.05027834],[0.05507134],[0.05960303],[0.06350731],[0.06681297],[0.06991179],[0.07274997],[0.07533934],[0.07774449],[0.07995863]
(0.039848657290488546+0j),[0.11590489],[1.],[0.36784715],[1.],[0.06866334],[0.05507425],[0.05960599],[0.0635103],[0.06681596],[0.06991475],[0.07275289],[0.0753422],[0.07774727],[0.07996131],[0.0819741]
(0.04151557788941041+0j),[0.11702488],[1.],[0.37532947],[1.],[0.07422621],[0.05961021],[0.06351458],[0.06682025],[0.06991903],[0.07275713],[0.07534637],[0.07775134],[0.07996526],[0.0819779],[0.08377201]
(0.04375754386047392+0j),[0.1189108],[1.],[0.38507981],[1.],[0.07944061],[0.06352047],[0.0668262],[0.06992498],[0.07276304],[0.0753522],[0.07775707],[0.07997084],[0.0819833],[0.0837772],[0.08570929]
(0.045897680742691016+0j),[0.12140325],[1.],[0.39381003],[1.],[0.08396555],[0.06683429],[0.06993312],[0.07277115],[0.07536024],[0.07776497],[0.07997858],[0.08199083],[0.08378447],[0.08571625],[0.08778454]
(0.047940060760967455+0j),[0.12436176],[1.],[0.40164839],[1.],[0.08768174],[0.06994396],[0.07278203],[0.07537104],[0.07777564],[0.07998906],[0.08200107],[0.08379441],[0.08572582],[0.08779366],[0.08964216]
(0.05167277256232687+0j),[0.12770489],[1.],[0.41641205],[1.],[0.09145134],[0.07279604],[0.07538505],[0.07778952],[0.08000272],[0.08201445],[0.08380745],[0.08573847],[0.0878058],[0.08965369],[0.09218046]
(0.05530344601643344+0j),[0.13134148],[1.],[0.42986437],[1.],[0.0952124],[0.07540266],[0.07780707],[0.08002006],[0.08203147],[0.08382409],[0.08575465],[0.08782146],[0.08966869],[0.09219463],[0.09534601]
(0.05881980832373671+0j),[0.1352059],[1.],[0.44210404],[1.],[0.09853471],[0.07782868],[0.08004152],[0.08205262],[0.08384481],[0.08577486],[0.08784107],[0.08968761],[0.09221268],[0.09536297],[0.09822467]
(0.08008175948145276+0j),[0.13903565],[1.],[0.51601501],[1.],[0.10509303],[0.08006737],[0.08207824],[0.08386999],[0.08579947],[0.08786502],[0.0897108],[0.09223498],[0.09538417],[0.09824453],[0.10798684]
(0.10302750634646704+0j),[0.14251332],[1.],[0.58095568],[1.],[0.11443539],[0.08210599],[0.08389741],[0.08582634],[0.08789117],[0.08973611],[0.09225938],[0.09540756],[0.09826673],[0.10800719],[0.12361438]
(0.12698170586363894+0j),[0.14553635],[1.],[0.63709714],[1.],[0.12265489],[0.08392454],[0.08585304],[0.08791722],[0.08976132],[0.09228366],[0.09543085],[0.09828892],[0.10802787],[0.12363269],[0.13724928]
(0.15180521184569976+0j),[0.14801261],[1.],[0.68566125],[1.],[0.1298304],[0.08587954],[0.08794324],[0.0897866],[0.092308],[0.09545412],[0.09831103],[0.1080486],[0.12365148],[0.13726551],[0.14904054]
(0.176531993371065+0j),[0.1499262],[1.],[0.72589197],[1.],[0.13635321],[0.08796883],[0.0898116],[0.09233216],[0.09547723],[0.09833297],[0.10806909],[0.12367016],[0.13728206],[0.14905448],[0.15903702]
(0.20068544703017216+0j),[0.1512813],[1.],[0.75828378],[1.],[0.1422088],[0.08983605],[0.09235595],[0.0955001],[0.09835467],[0.10808932],[0.1236885],[0.13729844],[0.14906879],[0.15904867],[0.16721176]
(0.2211481184310787+0j),[0.15208587],[1.],[0.77971121],[1.],[0.14688549],[0.09237933],[0.09552279],[0.09837633],[0.10810948],[0.12370668],[0.1373146],[0.14908306],[0.15906088],[0.16722129],[0.17325298]
(0.240347265345847+0j),[0.15249028],[1.],[0.79557133],[1.],[0.15140605],[0.09554533],[0.09839807],[0.10812986],[0.12372507],[0.13733082],[0.14909728],[0.15907325],[0.16723162],[0.17326069],[0.17744551]
(0.2580846685674775+0j),[0.15258325],[1.],[0.80640813],[1.],[0.15602198],[0.09841988],[0.10815058],[0.12374396],[0.13734743],[0.14911169],[0.15908572],[0.16724229],[0.17326939],[0.17745167],[0.1804433]
